ID;DESCRIPCION;TIPO ;;;;
BON;BONIFICACION;E;;;;
A++;Artículos promocionales;E;;;;
REG;REGALO;E;;;;
EX+;ENTRADA EXCEL;E;;;;
PRO;PROMOCION;E;;;;
PR;PROMOCION DEL PROVEEDOR;E;;;;
T+;TRASPASO;E;;;;
OE;ORDEN - ENTRADA;E;;;;
II;INVENTARIO INICIAL;E;;;;
FF;FALLA DE FABRIC;E;;;;
EF;ENT.DE FABRIC.;E;;;;
DV;DEVOL. VENTA;E;;;;
DP;DE PRODUCCION;E;;;;
DE;ENSAMBLADO(DE);E;;;;
CV;CANCEL. VENTA;E;;;;
CR;CANC. REMISION;E;;;;
COM;COMPRA;E;;;;
CI;CIERRE DE INVENTARIO;E;;;;
AA;AJUSTE INV POST;E;;;;
A+;AJUSTE +;E;;;;
T01;Transferencia a estacion 01;S;;;;
EX-;SALIDA DE EXCEL;S;;;;
COR;CORTESIA;S;;;;
RO;ROBO;S;;;;
MER;MERMA;S;;;;
T-;TRASPASO;S;;;;
SF;SAL.FABRICACION;S;;;;
RE;REGALO DE ARTS.;S;;;;
PF;PERDIDA FABRICA;S;;;;
NT;REMISION;S;;;;
IA;INV.INIC.AJUSTE;S;;;;
GA;GARANTIA;S;;;;
FAC;VTA. POR FACT.;S;;;;
EN;ENSAMBLE;S;;;;
DES;DESENSAMBLADO;S;;;;
DEN;DESENSAMBLADO(DE);S;;;;
DC;DEVOL. COMPRA;S;;;;
CC;CANCEL. COMPRA;S;;;;
AP;A PRODUCCION;S;;;;
AC;AJUSTE DE COSTO;S;;;;
A-;AJUSTE -;S;;;;
CNC;CANCELACION DE NOTA DE CREDITO;S;;;;
